Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in English,Website,"Operating result [=EBIT] mEUR 2021","Operating result [=EBIT] mEUR 2020","Operating result [=EBIT] mEUR 2019","Turnover mEUR 2021","Turnover mEUR 2020","Turnover mEUR 2019",Availability of financial data,2 years of consecutive losses,Average loss over 3 years
ASKELAND AS,NO,Norvège,STAVANGER,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the manufacture and sale of watches,Manufacturing; Retail; Services,Engaged in the manufacture and sale of watches [source: Bureau van Dijk],www.askeland.no,1.0,0.0,0.0,7,6,6,YES,NO,NO
KL MOBERG SKOTOEYFORRETNING AS,NO,Norvège,PARADIS,POSTBOKS 6083,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children",Retail,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children [source: Bureau van Dijk]",No Website,1.0,0.0,0.0,7,5,7,YES,NO,NO
NAHKAPAIKKA OY TOIVONEN,FI,Finlande,TUURI,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail distribution of footwear and leather goods,Retail,"Yhtion toimialana on nahka-alan tuotteiden ja tarvikkeiden, laukkujen ja kenkien, seka pukeutumisen vahittais- ja tukkukauppa, seka maahantuonti. Yhtio voi omistaa arvopapereita, osakkeita ja kiinteistoja, seka kayda niilla kauppaa.",www.nahkapaikka.fi,1.0,1.0,1.0,7,7,9,YES,NO,NO
SAJLILA KUNDLANI SL,ES,Espagne,SAN BARTOLOME DE TIRAJANA,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of apparel, accessories and other textile products",Retail,"Engaged in the retail sale of apparel, accessories and other textile products [source: Bureau van Dijk]",www.mosfashion.es,1.0,0.0,1.0,7,4,9,YES,NO,NO
AKCAN TOPTAN VE PERAKENDE EV TEKSTILI TUHAFIYE YUN IPLIK ITHALAT IHRACAT SANAYI VE TICARET,TR,Turquie,MAMAK,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels,Retail,"Subject is involved in wholesale and retail trade of home textile and haberdashery products such as wool & yarn, duvet cover sets, blankets, sleeping sets, quilts, pillow, socks, underwear, bathrobes, pyjamas, buttons, etc.",www.akcan.com.tr,1.0,1.0,1.0,7,8,11,YES,NO,NO
EMPORIO GIGLIO CALZATURE ED ABBIGLIAMENTO SOCIETA' A RESPONSABIL TA' LIMITATA S.R.L. IN SIGLA EMPORIO GIGLIO S.R.L.,IT,Italie,COSENZA,PIAZZA PRIMO MAGGIO 11/12,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation and management of shoe stores,Retail,Engaged in the operation and management of shoe stores [source: Bureau van Dijk],www.giglioluxury.com,0.0,0.0,0.0,7,6,7,YES,NO,NO
PUNTO SCARPE S.R.L.,IT,Italie,SONA,VIA DEL COMMERCIO 1,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail distribution of footwear products and accessories,Retail,Engaged in the retail distribution of footwear products and accessories [source: Bureau van Dijk],www.puntoscarperovato.com,1.0,1.0,1.0,7,5,6,YES,NO,NO
VENDRELL JOYERO SL,ES,Espagne,BARCELONA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the buying, selling and distribution of all kinds of jewelry and watches",Retail,"Engaged in the buying, selling and distribution of all kinds of jewelry and watches [source: Bureau van Dijk]",www.unionsuiza.com,1.0,0.0,0.0,7,6,7,YES,NO,NO
VESTIRE RAMONDA S.R.L.,IT,Italie,SAN DONA DI PIAVE,VIA EZIO VANONI 8,4771,Commerce de détail d'habillement en magasin spécialisé,Industrial company engaged in the operation and management of a chain of family clothing and accessories stores principally in Italy,Retail,Industrial company engaged in the operation and management of a chain of family clothing and accessories stores principally in Italy [source: Bureau van Dijk],www.sorelleramonda.com,0.0,0.0,0.0,7,5,7,YES,NO,YES
META SP. Z O.O. SP.K.,PL,Pologne,OLSZANY,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear and leather goods,Retail,Engaged in the retail sale of footwear and leather goods [source: Bureau van Dijk],www.meta.com.pl,0.0,0.0,0.0,6,6,8,YES,NO,NO
MICHAEL SANDSTROM AKTIEBOLAG,SE,Suède,VIMMERBY,STORA TORGET 4,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels,Retail,Bolaget skall bedriva herr- och damkonfektionsrorelse jamtedarmed forenlig verksamhet.,www.michaelsandstrom.se,0.0,0.0,0.0,6,7,10,YES,NO,NO
FATTORI EUR SRL,IT,Italie,ROMA,VIALE EUROPA 83,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail distribution of a range of jewelry and other related products; and provision of engraving, personalization, and customization services, as well as jewelry repair services",Retail; Services,"Engaged in the retail distribution of a range of jewelry and other related products; and provision of engraving, personalization, and customization services, as well as jewelry repair services [source: Bureau van Dijk]",www.fattorieur.it,0.0,0.0,0.0,6,5,9,YES,NO,NO
L.A. RETAIL SOCIETA' A RESPONSABILITA' LIMITATA,IT,Italie,VIAREGGIO,VIA ANTONIO FRATTI 250,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of a range of clothing and footwear products,Retail,Engaged in the retail sale of a range of clothing and footwear products [source: Bureau van Dijk],"mail.talamoni.net",0.0,0.0,0.0,6,5,7,YES,NO,NO
BIDON S.R.L.,IT,Italie,FOSSALTA DI PORTOGRUARO,VIA ENRICO FERMI,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the retail of all types of footwear, accessories and leather goods",Retail,"Engaged in the retail of all types of footwear, accessories and leather goods [source: Bureau van Dijk]","eng.bidon1938.com",0.0,-1.0,0.0,6,6,8,YES,YES,
TRITON,RU,Fédération de Russie,YAKUTSK,UL. LERMONTOVA D. 25,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as other miscellaneous store retailer,Retail,Operates as other miscellaneous store retailer [source: Bureau van Dijk],www.triton.ru,1.0,1.0,1.0,6,6,8,YES,NO,NO
VALENTI MULTISTORE S.R.L.,IT,Italie,ROGNO,VIA SANTA RITA DA CASCIA 5,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale and retail distribution of a general line of new clothing for men, women, and children",Wholesale; Retail,"Engaged in the wholesale and retail distribution of a general line of new clothing for men, women, and children [source: Bureau van Dijk]",www.tankfashion.com,1.0,0.0,0.0,6,4,6,YES,NO,NO
TEBRO SRL,IT,Italie,ROMA,VIA DEI PREFETTI 46,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in retail trade of articles of knitwear for men and women and household linen,Retail,Engaged in retail trade of articles of knitwear for men and women and household linen [source: Bureau van Dijk],"www.tebro.it",0.0,0.0,0.0,6,5,6,YES,NO,NO
MULLBECK AB,SE,Suède,GOTEBORG,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of knitted and crocheted apparel,Retail,"Bolaget skall bedriva forsaljning av klader, vaskor och stovlaravensom idka darmed forenlig verksamhet.",www.mullbeck.se,0.0,-1.0,0.0,6,7,8,YES,YES,
UNION MAGAZZINI MODA - S.R.L.,IT,Italie,TERRANUOVA BRACCIOLINI,VIA POGGILUPI 420,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],www.porcellottimoda.com,0.0,0.0,0.0,6,4,7,YES,NO,NO
OESTFOLD MOTE AS,NO,Norvège,TOENSBERG,SJOEVEIEN 6,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing and apparel store,Retail,Operates as a clothing and apparel store [source: Bureau van Dijk],No Website,1.0,1.0,1.0,6,5,5,YES,NO,NO
ANTINASU & RATSULA OY,FI,Finlande,PORI,,4771,Commerce de détail d'habillement en magasin spécialisé,"Operates as a clothing store engaged in the retail distribution of a general line of new clothing for men, women, and children",Retail,"Yhtion toimialana on tekstiili- ja nahkatuotteiden, kosmetiikan ja jalkineiden seka lahja- ja sisutustavaroiden tukku- ja vahittaiskauppa, tuonti ja vienti, alan kauppapalvelut, kahvilatoiminta seka kiinteistojen, asunto- ja liikehuoneistojen seka toimialaan liittyvan irtaimen omaisuuden seka erilaisen kuljetuskaluston kauppa ja vuokraustoiminta seka arvopaperikauppa.",www.ratsula.fi,0.0,0.0,-1.0,6,6,8,YES,NO,YES
TIMMERMANS,BE,Belgique,BELSELE,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear and leather goods,Retail,Engaged in the retail sale of footwear and leather goods [source: Bureau van Dijk],www.timmermans.be,0.0,-1.0,-1.0,6,5,7,YES,YES,
POLARIS - S.R.L.,IT,Italie,PORTO SAN GIORGIO,VIA ENRICO MEDI 6,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the retail trade of shoes, clothes and jewelry",Retail,"Engaged in the retail trade of shoes, clothes and jewelry [source: Bureau van Dijk]",No Website,0.0,-1.0,0.0,6,5,8,YES,NO,YES
CHARGET S.R.L.,IT,Italie,SAN GIULIANO TERME,VIA GIOSUE' CARDUCCI 64/A,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],www.charget.it,0.0,0.0,0.0,6,6,12,YES,NO,NO
LA VESTI BENE S.R.L.,IT,Italie,SOLESINO,VIA NAZIONALE 1269 INT.2,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail distribution of a general line of new clothing for men, women, and children",Retail,"Engaged in the retail distribution of a general line of new clothing for men, women, and children [source: Bureau van Dijk]",www.lavestibene.it,0.0,0.0,0.0,6,4,7,YES,NO,NO
SQUALO S.R.L.,IT,Italie,MILANO,VIA ALFREDO CAPPELLINI 23,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of men's and women's clothing and furnishings,Retail,Engaged in the retail distribution of men's and women's clothing and furnishings [source: Bureau van Dijk],www.furla.com,0.0,0.0,1.0,6,5,6,YES,NO,NO
VM S.R.L.,IT,Italie,FOSSALTA DI PORTOGRUARO,VIA IPPOLITO NIEVO 24,4771,Commerce de détail d'habillement en magasin spécialisé,"Operates as a clothing store engaged in the retail distribution of a general line of new clothing for men, women, and children",Retail,"Operates as a clothing store engaged in the retail distribution of a general line of new clothing for men, women, and children [source: Bureau van Dijk]","www.magazzinivoltolina.com",0.0,0.0,1.0,6,5,7,YES,NO,NO
FRISCO INTERNATIONAL CLOTHING SA,ES,Espagne,MALAGA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing products in Spain,Retail,Engaged in the retail sale of clothing products in Spain [source: Bureau van Dijk],"www.fcandcompany.com",0.0,-1.0,0.0,6,4,7,YES,YES,
"CASA DAS PELES - CONFECCOES, S.A.",PT,Portugal,LISBOA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the management and operation of family clothing stores,Retail,Engaged in the management and operation of family clothing stores [source: Bureau van Dijk],www.casadaspeles.pt,0.0,0.0,2.0,6,5,10,YES,NO,NO
LAHDEN KELLOKESKUS OY,FI,Finlande,LAHTI,PL 222,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,"Yhtion toimialana on kello- ja kulta-alaan kuuluvien tuotteiden tukku- ja vahittaiskauppa seka alan huolto- ja korjaustoiminta. Edelleen yhtion toimialana on koti- ja ulkomaisten kiinteistojen, asunto-, kiinteisto-, loma- ja arvopaperiosakkeiden, osuuksien ja oikeuksien omistaminen, hallinnointi, osto, myynti ja vuokraus.","www.timanttiset.fi",0.0,0.0,0.0,6,5,4,YES,NO,NO
PROIEZIONE SRL,IT,Italie,MILANO,VIA ALESSANDRO MANZONI 44,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of specialized lines of apparel and accessories,Retail,Engaged in the retail sale of specialized lines of apparel and accessories [source: Bureau van Dijk],"www.dmagazine.it",0.0,0.0,0.0,6,4,8,YES,NO,NO
NITTA GIOIELLI S.R.L.,IT,Italie,UDINE,VIA RIALTO 19,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the operation of department stores,Retail,Engaged in the operation of department stores [source: Bureau van Dijk],"nittagioielli.com",0.0,0.0,0.0,6,4,5,YES,NO,NO
F.G. FECAROTTA GIOIELLI S.R.L.,IT,Italie,PALERMO,VIA RUGGIERO SETTIMO 68,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail trade of colored gemstones and studded jewelry,Retail,Engaged in the retail trade of colored gemstones and studded jewelry [source: Bureau van Dijk],"www.fecarotta.com",1.0,0.0,0.0,6,5,5,YES,NO,NO
MININ S.R.L.,IT,Italie,PORPETTO,VIA UDINE 107,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of clothing and accessories and other related products,Retail,Engaged in the retail of clothing and accessories and other related products [source: Bureau van Dijk],www.minin.it,0.0,0.0,0.0,5,4,6,YES,NO,YES
TORREGROSSA SOCIETA' A RESPONSABILITA' LIMITATA,IT,Italie,PALERMO,VIA DELLA LIBERTA' 3/5,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the management and operation of clothing stores,Retail,Engaged in the management and operation of clothing stores [source: Bureau van Dijk],"www.torregrossaboutique.com",1.0,0.0,0.0,5,5,5,YES,NO,NO
SANDVIK SKO AS,NO,Norvège,GAUPNE,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the management and operation of shoe stores,Retail,Engaged in the management and operation of shoe stores [source: Bureau van Dijk],No Website,0.0,0.0,0.0,5,4,5,YES,NO,NO
KARI AUKIA OY,FI,Finlande,VAASA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing,Retail,"Yhtion toimialana on vaatteiden ja tekstiilien vahittaiskauppa. Yhtio voi myos ostaa, myyda, vuokrata ja hallita kiinteistoja ja osakehuoneistoja seka harjoittaa arvopaperikauppaa.",www.aukia.fi,0.0,0.0,0.0,6,5,8,YES,NO,YES
"FATIMA MENDES, S.A.",PT,Portugal,GUIMARAES,,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a family clothing store,Retail,Operates as a family clothing store [source: Bureau van Dijk],www.fatimamendes.com,0.0,0.0,0.0,5,5,5,YES,NO,NO
BRAVI S.P.A.,IT,Italie,CONEGLIANO,VIA ALESSANDRO VOLTA 16,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of garments for adults in Italy,Retail,Engaged in the retail trade of garments for adults in Italy [source: Bureau van Dijk],"www.bravispa.it",0.0,0.0,0.0,5,4,6,YES,NO,NO
FALETTI MULTISTORE S.R.L.,IT,Italie,DARFO BOARIO TERME,CORSO ROBERTO ENEA LEPETIT 15,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels,Retail,Engaged in the retail trade of clothing apparels [source: Bureau van Dijk],www.falettimultistore.it,0.0,0.0,0.0,5,4,5,YES,NO,YES
MAZZUCCHELLI CALZATURE SRL,IT,Italie,BESNATE,VIA TOMASETTO 2,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear products,Retail,Engaged in the retail sale of footwear products [source: Bureau van Dijk],www.mazzucchellicalzature.it,0.0,0.0,0.0,5,5,7,YES,YES,
WHITEHORSE HANDELSGMBH,AT,Autriche,ST. AEGIDI,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of Jack Wolfskin clothing and footwear,Retail,Engaged in the retail sale of Jack Wolfskin clothing and footwear [source: Bureau van Dijk],www.jack-wolfskin.at,,,,5,7,8,NO,NO,#DIV/0!
QUATTRO STAGIONI - SOCIETA' A RESPONSABILITA' LIMITATA,IT,Italie,CESENA,VIA LUCIANO LAMA 51,4771,Commerce de détail d'habillement en magasin spécialisé,"Retail trade of personal linen, knitwear and hosiery",Retail,"Retail trade of personal linen, knitwear and hosiery [source: Bureau van Dijk]",www.quattrostagioniabbigliamento.it,0.0,0.0,0.0,5,5,5,YES,NO,NO
MEGACALZADO PAMPLONA SL,ES,Espagne,ORKOIEN,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the wholesale and retail distribution of footwear for all ages,Wholesale; Retail,Engaged in the wholesale and retail distribution of footwear for all ages [source: Bureau van Dijk],www.megacalzado.com,0.0,0.0,0.0,5,4,6,YES,NO,NO
HIJOS DE FRANCISCO LOPEZ SANTA CRUZ SA,ES,Espagne,LAS PALMAS DE GRAN CANARIA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children",Retail,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children [source: Bureau van Dijk]","www.buylopez.es",0.0,-1.0,0.0,5,5,10,YES,NO,YES
OSMOTEX OY,FI,Finlande,PIEKSAMAKI,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of knitted and crocheted apparel,Retail,"Yhtion toimialana on tekstiili- ja vaatetavaroiden, jalkineiden, elektroniikka-, lahja-, urheilu- ja tavaratalotuotteiden valmistus, vahittais- ja tukkukauppa seka tuonti- ja vientiagentuurien hoitaminen, arvopapereiden, kiinteistojen, taide-esineiden ostaminen, omistaminen, myyminen ja valittaminen seka yritysten, autojen ja tyokoneiden ja niihin kuuluvien laitteiden osto, saneeraus, omistaminen, myynti ja vuokraus seka muu laillinen liiketoiminta.","www.osmotex.com",0.0,0.0,0.0,5,5,5,YES,YES,
JORDANS EOOD,BG,Bulgarie,PLOVDIV,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail distribution of footwear,Retail,Engaged in the retail distribution of footwear [source: Bureau van Dijk],www.paolobotticelli.com,0.0,0.0,0.0,5,4,7,YES,NO,NO
"MACHADO - JOALHEIRO, S.A.",PT,Portugal,PORTO,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.machadojoalheiro.com,0.0,0.0,0.0,5,5,8,YES,NO,NO
MODA'S SRL,IT,Italie,POSSAGNO,VIA SCHIAVONESCA MAROSTICANA 14,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the sale of apparel for men and women,Retail,Engaged in the sale of apparel for men and women [source: Bureau van Dijk],www.modasboutique.com,0.0,0.0,0.0,5,5,4,YES,NO,NO
"M.J.J.S. - COMERCIO DE VESTUARIO, S.A.",PT,Portugal,PEREIRA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of a wide range of clothing for women,Retail,Engaged in the retail distribution of a wide range of clothing for women [source: Bureau van Dijk],"www.flordamoda.pt",-1.0,-1.0,-1.0,5,4,8,YES,YES,
LEDER & SCHUH D.O.O.,HR,Croatie,ZAGREB,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear and leather goods,Retail,buying and goods;performance of commercial mediation in domestic and international market purchases and sales of goods;Brands:;Corti;Dominici;Humanic;Jello;Shoe 4 you;The commercial activity started in 2009.,www.lsag.com,0.0,-1.0,0.0,5,5,6,YES,YES,
AKSIOM,RU,Fédération de Russie,NOVOSIBIRSK,"PR-KT DIMITROVA D. 1, OFFICE 5",4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail trade of grocery products,Retail,Engaged in the retail trade of grocery products [source: Bureau van Dijk],www.avsu.ru,1.0,1.0,1.0,5,5,5,YES,NO,NO
30GRADI S.R.L.,IT,Italie,ROMA,VIA DEI MONTI DELLA FARNESINA 79,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing store,Retail,Operates as a clothing store [source: Bureau van Dijk],"www.museumtheoriginal.com",0.0,0.0,1.0,5,7,6,YES,NO,NO
INCATASCIATO GROUP S.R.L.,IT,Italie,MISTERBIANCO,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],No Website,0.0,0.0,0.0,5,4,8,YES,YES,
RISCHIO S.R.L.,IT,Italie,LATISANA,VIA LOVADINA 49,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of ready-made clothing,Retail,Engaged in the retail distribution of ready-made clothing [source: Bureau van Dijk],www.risskio.it,0.0,-1.0,0.0,4,4,11,YES,YES,
MARMON SPORTS,FR,France,AUBERVILLIERS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of sporting goods and equipment,Retail,Engaged in the retail trade of sporting goods and equipment [source: Bureau van Dijk],marmonsports.com,0.0,0.0,0.0,4,5,6,YES,NO,NO
MODA CENTER S.R.L.,IT,Italie,TREVIGNANO,VIA TREVISO 71,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of wearing apparel and accessories,Retail,Engaged in the retail trade of wearing apparel and accessories [source: Bureau van Dijk],"www.puntoettore.it",-2.0,-5.0,0.0,4,5,8,YES,YES,
BIJOUX BOUTIQUE,FR,France,STRASBOURG,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as a retailer of miscellaneous shopping goods,Retail,Operates as a retailer of miscellaneous shopping goods [source: Bureau van Dijk],www.boutiquesobijoux.com,1.0,1.0,0.0,4,5,5,YES,NO,NO
ZETEK SRL,IT,Italie,CERVIA,VIALE ROMAGNA 69/71,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the manufacture and retail sale of clothing products in Italy,Manufacturing; Retail,Engaged in the manufacture and retail sale of clothing products in Italy [source: Bureau van Dijk],"www.tezuk.com",0.0,0.0,0.0,4,4,5,YES,NO,NO
WADEL S.R.L.,IT,Italie,CAGLIARI,VIA DEL RISORGIMENTO 5,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Primarily engaged in the retail sale of footwear products,Retail,Primarily engaged in the retail sale of footwear products [source: Bureau van Dijk],www.cralregionesardegna.it/?p=2693,0.0,0.0,1.0,4,6,10,YES,NO,NO
